Subject,File,Gender,Age,Color,Change,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
0,135889869-1496254009.json,f,37,no,"after the mouse went over the line, yes",3.6666666666666665,"[63, 126, 26]",mouse,right,English,False,"{'y': 0.16981132075471697, 'x': 0.49990559506576876}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1366
1,184306704-1496253842.json,m,37,No.,"Sometimes, when I moved the mouse over the rectangle, it would change color.",3.683333333333333,"[108, 173, 58]",mouse,left,English,False,"{'y': 0.172087320663959, 'x': 0.4999999440647122}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1180
2,342980380-1496254963.json,m,45,Maybe at first,After 1-2 seconds perhaps,3.9,"[49, 89, 26]",mouse,left,English,False,"{'y': 0.17130801687763714, 'x': 0.5}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1412
3,398716982-1496257223.json,m,26,no,yes,6.3,"[487, 912, 262]",mouse,right,English,False,"{'y': 0.17362974319662705, 'x': 0.5}",False,as fast as possible,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1920
4,491937634-1496252651.json,f,29,no,no,3.9166666666666665,"[73, 186, 35]",trackpad,right,Spanish,False,"{'y': 0.1887649951369522, 'x': 0.4999999917235366}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1164
5,785472094-1496255823.json,m,24,no,"Yes, sometimes passing the middle of the screen and sometimes when approaching one of the color boxes",5.316666666666666,"[190, 425, 94]",mouse,right,English,False,"{'y': 0.17362974319662705, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.71 Safari/537.36",1920
6,81101119-1496255427.json,f,61,no,yes,4.133333333333334,"[291, 470, 155]",mouse,right,english,False,"{'y': 0.1708482644506664, 'x': 0.5000000628451008}",False,no,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1094
7,945817994-1496255974.json,f,23,No,Yes,2.65,"[66, 115, 31]",mouse,right,English,False,"{'y': 0.1694635074888544, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1032
8,970594866-1496257103.json,m,24,no,no,3.3833333333333333,"[24, 91, 3]",mouse,right,English,False,"{'y': 0.169811328973731, 'x': 0.49999990319199505}",False,,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1517
9,97349194-1496257828.json,m,35,No,Yes. ,3.3333333333333335,"[95, 199, 41]",mouse,right,English,False,"{'y': 0.17028017643039076, 'x': 0.5}",False,I waited for a second to see if the color changed. ,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1600
